id,ppt_id,bet_no,play_duration (ms),old_bonus,total_stake,win_number,winnings,new_bonus,average_odds,total_numbers_bet,num_tokens
41,4,18,5649,£2.70,£0.20,36,£0.00,£2.50,£1.03,18,1,"[0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0]"
40,4,17,2557,£2.90,£0.20,20,£0.00,£2.70,£1.03,18,1,"[0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0]"
39,4,16,4020,£3.10,£0.20,17,£0.00,£2.90,£1.03,18,1,"[0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4]"
36,4,15,4119,£3.10,£0.40,36,£0.40,£3.10,£0.03,36,2,"[0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4]"
34,4,14,1710,£3.30,£0.20,22,£0.00,£3.10,£1.03,18,1,"[0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4]"
31,4,13,3034,£3.50,£0.20,9,£0.00,£3.30,£1.03,18,1,"[0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0]"
28,4,12,11523,£2.30,£0.60,2,£1.80,£3.50,£2.03,12,3,"[0, 0, 1.8, 1.8, 0, 1.8, 1.8, 0, 0, 0, 0, 1.8, 1.8, 0, 1.8, 1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8, 1.8, 0, 1.8, 1.8, 0, 0, 0]"
22,4,11,2819,£2.50,£0.20,3,£0.00,£2.30,£1.03,18,1,"[0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0]"
19,4,10,9309,£2.90,£0.40,29,£0.00,£2.50,£0.78,24,2,"[0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0, 0.4, 0.6, 1, 0.6, 1, 0.6, 1, 1, 0.6, 1, 0.6, 1, 0.6, 0.4, 0, 0.4, 0, 0, 0.4, 0, 0.4, 0, 0.4, 0, 0.4]"
17,4,9,10278,£2.50,£0.40,28,£0.80,£2.90,£0.58,26,2,"[0, 0, 0.8, 0, 0.8, 0, 0.8, 0, 0.8, 0, 0.8, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0, 0.8, 0, 0.8, 0, 0.8, 0, 0.8, 0, 0.8, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4]"
